construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	multiple	ex	k.4	mem	constant	best
5093	cut	cap	first	R-MAT.500.10.90.gexf	500	4356	5	3	[67, 67, 67, 67]	105	76	76.0	inf	106	0	0	0	0	[105.0, 76.0]	R-MAT	500	10	90	gexf	105	1.38157894736842	0.5
5094	cut	cap	first	R-MAT.500.10.90.gexf	500	4356	10	4	[67, 67, 67, 67]	105	64	64.0	inf	168	0	0	0	0	[105.0, 64.0]	R-MAT	500	10	90	gexf	105	1.640625	0.5
5095	cut	cap	first	R-MAT.500.10.90.gexf	500	4356	50	5	[67, 67, 67, 67]	105	17	17.0	inf	245	0	0	0	0	[105.0, 17.0]	R-MAT	500	10	90	gexf	75	4.41176470588235	0.5
5096	cut	cap	first	R-MAT.500.25.90.gexf	500	9611	2	1	[127, 127, 127, 127]	248	213	213.0	inf	14	0	0	0	0	[248.0, 213.0]	R-MAT	500	25	90	gexf	248	1.16431924882629	0.5
5097	cut	cap	first	R-MAT.500.25.90.gexf	500	9611	3	2	[127, 127, 127, 127]	248	199	199.0	inf	102	0	0	0	0	[248.0, 199.0]	R-MAT	500	25	90	gexf	248	1.24623115577889	0.5
5098	cut	cap	first	R-MAT.500.25.90.gexf	500	9611	5	3	[127, 127, 127, 127]	248	183	183.0	inf	22	0	0	0	0	[248.0, 183.0]	R-MAT	500	25	90	gexf	248	1.3551912568306	0.5
5099	cut	cap	first	R-MAT.500.25.90.gexf	500	9611	10	4	[127, 127, 127, 127]	248	159	159.0	inf	68	0	0	0	0	[248.0, 159.0]	R-MAT	500	25	90	gexf	248	1.55974842767296	0.5
5100	cut	cap	first	R-MAT.500.25.90.gexf	500	9611	50	5	[127, 127, 127, 127]	248	77	77.0	inf	110	0	0	0	0	[248.0, 77.0]	R-MAT	500	25	90	gexf	197.461538461538	2.56443556443556	0.5
5101	cut	cap	first	R-MAT.500.5.91.gexf	500	2297	2	1	[41, 41, 41, 41]	60	47	47.0	inf	100	0	0	0	0	[60.0, 47.0]	R-MAT	500	5	91	gexf	60	1.27659574468085	0.5
5102	cut	cap	first	R-MAT.500.5.91.gexf	500	2297	3	2	[41, 41, 41, 41]	60	43	43.0	inf	181	0	0	0	0	[60.0, 43.0]	R-MAT	500	5	91	gexf	60	1.3953488372093	0.5
5103	cut	cap	first	R-MAT.500.5.91.gexf	500	2297	5	3	[41, 41, 41, 41]	60	38	38.0	inf	253	0	0	0	0	[60.0, 38.0]	R-MAT	500	5	91	gexf	60	1.57894736842105	0.5
5104	cut	cap	first	R-MAT.500.5.91.gexf	500	2297	10	4	[41, 41, 41, 41]	60	31	31.0	inf	409	0	0	0	0	[60.0, 31.0]	R-MAT	500	5	91	gexf	57.4444444444444	1.85304659498208	0.5
5106	cut	cap	first	R-MAT.500.10.91.gexf	500	4378	2	1	[76, 76, 76, 76]	115	96	96.0	inf	50	0	0	0	0	[115.0, 96.0]	R-MAT	500	10	91	gexf	115	1.19791666666667	0.5
5107	cut	cap	first	R-MAT.500.10.91.gexf	500	4378	3	2	[76, 76, 76, 76]	115	92	92.0	inf	79	0	0	0	0	[115.0, 92.0]	R-MAT	500	10	91	gexf	115	1.25	0.5
5108	cut	cap	first	R-MAT.500.10.91.gexf	500	4378	5	3	[76, 76, 76, 76]	115	86	86.0	inf	106	0	0	0	0	[115.0, 86.0]	R-MAT	500	10	91	gexf	115	1.33720930232558	0.5
5109	cut	cap	first	R-MAT.500.10.91.gexf	500	4378	10	4	[76, 76, 76, 76]	115	74	74.0	inf	187	0	0	0	0	[115.0, 74.0]	R-MAT	500	10	91	gexf	113.3	1.53108108108108	0.5
5110	cut	cap	first	R-MAT.500.10.91.gexf	500	4378	50	5	[76, 76, 76, 76]	115	26	26.0	inf	240	0	0	0	0	[115.0, 26.0]	R-MAT	500	10	91	gexf	89.6363636363637	3.44755244755245	0.5
5111	cut	cap	first	R-MAT.500.25.91.gexf	500	9652	2	1	[121, 121, 121, 121]	255	210	210.0	inf	9	0	0	0	0	[255.0, 210.0]	R-MAT	500	25	91	gexf	255	1.21428571428571	0.5
5112	cut	cap	first	R-MAT.500.25.91.gexf	500	9652	3	2	[121, 121, 121, 121]	255	197	197.0	inf	105	0	0	0	0	[255.0, 197.0]	R-MAT	500	25	91	gexf	255	1.29441624365482	0.5
5113	cut	cap	first	R-MAT.500.25.91.gexf	500	9652	5	3	[121, 121, 121, 121]	255	177	177.0	inf	23	0	0	0	0	[255.0, 177.0]	R-MAT	500	25	91	gexf	255	1.44067796610169	0.5
5114	cut	cap	first	R-MAT.500.25.91.gexf	500	9652	10	4	[121, 121, 121, 121]	255	150	150.0	inf	102	0	0	0	0	[255.0, 150.0]	R-MAT	500	25	91	gexf	254.1	1.694	0.5
5115	cut	cap	first	R-MAT.500.25.91.gexf	500	9652	50	5	[121, 121, 121, 121]	255	71	71.0	inf	109	0	0	0	0	[255.0, 71.0]	R-MAT	500	25	91	gexf	186.15	2.62183098591549	0.5
5116	cut	cap	first	R-MAT.500.5.92.gexf	500	2331	2	1	[42, 42, 42, 42]	55	43	43.0	inf	177	0	0	0	0	[55.0, 43.0]	R-MAT	500	5	92	gexf	55	1.27906976744186	0.5
5117	cut	cap	first	R-MAT.500.5.92.gexf	500	2331	3	2	[42, 42, 42, 42]	55	41	41.0	inf	421	0	0	0	0	[55.0, 41.0]	R-MAT	500	5	92	gexf	55	1.34146341463415	0.5
5118	cut	cap	first	R-MAT.500.5.92.gexf	500	2331	5	3	[42, 42, 42, 42]	55	37	37.0	inf	340	0	0	0	0	[55.0, 37.0]	R-MAT	500	5	92	gexf	55	1.48648648648649	0.5
5119	cut	cap	first	R-MAT.500.5.92.gexf	500	2331	10	4	[42, 42, 42, 42]	55	32	32.0	inf	417	0	0	0	0	[55.0, 32.0]	R-MAT	500	5	92	gexf	50.6	1.58125	0.5
5121	cut	cap	first	R-MAT.500.10.92.gexf	500	4352	2	1	[64, 64, 64, 64]	92	78	78.0	inf	224	0	0	0	0	[92.0, 78.0]	R-MAT	500	10	92	gexf	92	1.17948717948718	0.5
5122	cut	cap	first	R-MAT.500.10.92.gexf	500	4352	3	2	[64, 64, 64, 64]	92	74	74.0	inf	145	0	0	0	0	[92.0, 74.0]	R-MAT	500	10	92	gexf	92	1.24324324324324	0.5
5123	cut	cap	first	R-MAT.500.10.92.gexf	500	4352	5	3	[64, 64, 64, 64]	92	67	67.0	inf	101	0	0	0	0	[92.0, 67.0]	R-MAT	500	10	92	gexf	92	1.37313432835821	0.5
5124	cut	cap	first	R-MAT.500.10.92.gexf	500	4352	10	4	[64, 64, 64, 64]	92	57	57.0	inf	152	0	0	0	0	[92.0, 57.0]	R-MAT	500	10	92	gexf	92	1.6140350877193	0.5
5125	cut	cap	first	R-MAT.500.10.92.gexf	500	4352	50	5	[64, 64, 64, 64]	92	14	14.0	inf	243	0	0	0	0	[92.0, 14.0]	R-MAT	500	10	92	gexf	68.4473684210526	4.8890977443609	0.5
5126	cut	cap	first	R-MAT.500.25.92.gexf	500	9722	2	1	[130, 130, 130, 130]	255	216	216.0	inf	11	0	0	0	0	[255.0, 216.0]	R-MAT	500	25	92	gexf	255	1.18055555555556	0.5
5127	cut	cap	first	R-MAT.500.25.92.gexf	500	9722	3	2	[130, 130, 130, 130]	255	206	206.0	inf	18	0	0	0	0	[255.0, 206.0]	R-MAT	500	25	92	gexf	255	1.2378640776699	0.5
5128	cut	cap	first	R-MAT.500.25.92.gexf	500	9722	5	3	[130, 130, 130, 130]	255	188	188.0	inf	34	0	0	0	0	[255.0, 188.0]	R-MAT	500	25	92	gexf	255	1.3563829787234	0.5
5129	cut	cap	first	R-MAT.500.25.92.gexf	500	9722	10	4	[130, 130, 130, 130]	255	166	166.0	inf	99	0	0	0	0	[255.0, 166.0]	R-MAT	500	25	92	gexf	255	1.53614457831325	0.5
5130	cut	cap	first	R-MAT.500.25.92.gexf	500	9722	50	5	[130, 130, 130, 130]	255	80	80.0	inf	108	0	0	0	0	[255.0, 80.0]	R-MAT	500	25	92	gexf	206.266666666667	2.57833333333333	0.5
5131	cut	cap	first	R-MAT.500.5.93.gexf	500	2323	2	1	[35, 35, 35, 35]	55	41	41.0	inf	115	0	0	0	0	[55.0, 41.0]	R-MAT	500	5	93	gexf	55	1.34146341463415	0.5
5132	cut	cap	first	R-MAT.500.5.93.gexf	500	2323	3	2	[35, 35, 35, 35]	55	39	39.0	inf	247	0	0	0	0	[55.0, 39.0]	R-MAT	500	5	93	gexf	55	1.41025641025641	0.5
5133	cut	cap	first	R-MAT.500.5.93.gexf	500	2323	5	3	[35, 35, 35, 35]	55	35	35.0	inf	291	0	0	0	0	[55.0, 35.0]	R-MAT	500	5	93	gexf	55	1.57142857142857	0.5
5134	cut	cap	first	R-MAT.500.5.93.gexf	500	2323	10	4	[35, 35, 35, 35]	55	25	25.0	inf	271	0	0	0	0	[55.0, 25.0]	R-MAT	500	5	93	gexf	50.1111111111111	2.00444444444444	0.5
5136	cut	cap	first	R-MAT.500.10.93.gexf	500	4383	2	1	[76, 76, 76, 76]	122	103	103.0	inf	49	0	0	0	0	[122.0, 103.0]	R-MAT	500	10	93	gexf	122	1.18446601941748	0.5
5137	cut	cap	first	R-MAT.500.10.93.gexf	500	4383	3	2	[76, 76, 76, 76]	122	97	97.0	inf	67	0	0	0	0	[122.0, 97.0]	R-MAT	500	10	93	gexf	122	1.25773195876289	0.5
5138	cut	cap	first	R-MAT.500.10.93.gexf	500	4383	5	3	[76, 76, 76, 76]	122	90	90.0	inf	100	0	0	0	0	[122.0, 90.0]	R-MAT	500	10	93	gexf	122	1.35555555555556	0.5
5139	cut	cap	first	R-MAT.500.10.93.gexf	500	4383	10	4	[76, 76, 76, 76]	122	75	75.0	inf	108	0	0	0	0	[122.0, 75.0]	R-MAT	500	10	93	gexf	122	1.62666666666667	0.5
5140	cut	cap	first	R-MAT.500.10.93.gexf	500	4383	50	5	[76, 76, 76, 76]	122	26	26.0	inf	240	0	0	0	0	[122.0, 26.0]	R-MAT	500	10	93	gexf	90.84375	3.49399038461538	0.5
5141	cut	cap	first	R-MAT.500.25.93.gexf	500	9679	2	1	[129, 129, 129, 129]	296	247	247.0	inf	9	0	0	0	0	[296.0, 247.0]	R-MAT	500	25	93	gexf	296	1.19838056680162	0.5
5142	cut	cap	first	R-MAT.500.25.93.gexf	500	9679	3	2	[129, 129, 129, 129]	296	234	234.0	inf	17	0	0	0	0	[296.0, 234.0]	R-MAT	500	25	93	gexf	296	1.26495726495726	0.5
5143	cut	cap	first	R-MAT.500.25.93.gexf	500	9679	5	3	[129, 129, 129, 129]	296	211	211.0	inf	20	0	0	0	0	[296.0, 211.0]	R-MAT	500	25	93	gexf	296	1.40284360189573	0.5
5144	cut	cap	first	R-MAT.500.25.93.gexf	500	9679	10	4	[129, 129, 129, 129]	296	182	182.0	inf	103	0	0	0	0	[296.0, 182.0]	R-MAT	500	25	93	gexf	296	1.62637362637363	0.5
5145	cut	cap	first	R-MAT.500.25.93.gexf	500	9679	50	5	[129, 129, 129, 129]	296	79	79.0	inf	111	0	0	0	0	[296.0, 79.0]	R-MAT	500	25	93	gexf	224.923076923077	2.84712755598832	0.5
5146	cut	cap	first	R-MAT.500.5.94.gexf	500	2312	2	1	[37, 37, 37, 37]	46	39	39.0	inf	181	0	0	0	0	[46.0, 39.0]	R-MAT	500	5	94	gexf	46	1.17948717948718	0.5
5147	cut	cap	first	R-MAT.500.5.94.gexf	500	2312	3	2	[37, 37, 37, 37]	46	37	37.0	inf	411	0	0	0	0	[46.0, 37.0]	R-MAT	500	5	94	gexf	46	1.24324324324324	0.5
5148	cut	cap	first	R-MAT.500.5.94.gexf	500	2312	5	3	[37, 37, 37, 37]	46	33	33.0	inf	292	0	0	0	0	[46.0, 33.0]	R-MAT	500	5	94	gexf	46	1.39393939393939	0.5
5149	cut	cap	first	R-MAT.500.5.94.gexf	500	2312	10	4	[37, 37, 37, 37]	46	27	27.0	inf	413	0	0	0	0	[46.0, 27.0]	R-MAT	500	5	94	gexf	46	1.7037037037037	0.5
5151	cut	cap	first	R-MAT.500.10.94.gexf	500	4337	2	1	[53, 53, 53, 53]	84	64	64.0	inf	58	0	0	0	0	[84.0, 64.0]	R-MAT	500	10	94	gexf	84	1.3125	0.5
5152	cut	cap	first	R-MAT.500.10.94.gexf	500	4337	3	2	[53, 53, 53, 53]	84	61	61.0	inf	105	0	0	0	0	[84.0, 61.0]	R-MAT	500	10	94	gexf	84	1.37704918032787	0.5
5153	cut	cap	first	R-MAT.500.10.94.gexf	500	4337	5	3	[53, 53, 53, 53]	84	56	56.0	inf	239	0	0	0	0	[84.0, 56.0]	R-MAT	500	10	94	gexf	84	1.5	0.5
5154	cut	cap	first	R-MAT.500.10.94.gexf	500	4337	10	4	[53, 53, 53, 53]	84	46	46.0	inf	155	0	0	0	0	[84.0, 46.0]	R-MAT	500	10	94	gexf	78.2222222222222	1.70048309178744	0.5
5155	cut	cap	first	R-MAT.500.10.94.gexf	500	4337	50	5	[53, 53, 53, 53]	84	3	3.0	inf	241	0	0	0	0	[84.0, 3.0]	R-MAT	500	10	94	gexf	53.6842105263158	17.8947368421053	0.5
5156	cut	cap	first	R-MAT.500.25.94.gexf	500	9758	2	1	[128, 128, 128, 128]	247	213	213.0	inf	15	0	0	0	0	[247.0, 213.0]	R-MAT	500	25	94	gexf	247	1.15962441314554	0.5
5157	cut	cap	first	R-MAT.500.25.94.gexf	500	9758	3	2	[128, 128, 128, 128]	247	204	204.0	inf	106	0	0	0	0	[247.0, 204.0]	R-MAT	500	25	94	gexf	247	1.21078431372549	0.5
5158	cut	cap	first	R-MAT.500.25.94.gexf	500	9758	5	3	[128, 128, 128, 128]	247	189	189.0	inf	64	0	0	0	0	[247.0, 189.0]	R-MAT	500	25	94	gexf	247	1.30687830687831	0.5
5159	cut	cap	first	R-MAT.500.25.94.gexf	500	9758	10	4	[128, 128, 128, 128]	247	164	164.0	inf	47	0	0	0	0	[247.0, 164.0]	R-MAT	500	25	94	gexf	247	1.50609756097561	0.5
5160	cut	cap	first	R-MAT.500.25.94.gexf	500	9758	50	5	[128, 128, 128, 128]	247	78	78.0	inf	108	0	0	0	0	[247.0, 78.0]	R-MAT	500	25	94	gexf	202.785714285714	2.59981684981685	0.5
5161	cut	cap	first	R-MAT.500.5.95.gexf	500	2320	2	1	[37, 37, 37, 37]	44	36	36.0	inf	246	0	0	0	0	[44.0, 36.0]	R-MAT	500	5	95	gexf	44	1.22222222222222	0.5
5162	cut	cap	first	R-MAT.500.5.95.gexf	500	2320	3	2	[37, 37, 37, 37]	44	34	34.0	inf	245	0	0	0	0	[44.0, 34.0]	R-MAT	500	5	95	gexf	44	1.29411764705882	0.5
5163	cut	cap	first	R-MAT.500.5.95.gexf	500	2320	5	3	[37, 37, 37, 37]	44	32	32.0	inf	413	0	0	0	0	[44.0, 32.0]	R-MAT	500	5	95	gexf	44	1.375	0.5
5164	cut	cap	first	R-MAT.500.5.95.gexf	500	2320	10	4	[37, 37, 37, 37]	44	27	27.0	inf	412	0	0	0	0	[44.0, 27.0]	R-MAT	500	5	95	gexf	41.8	1.54814814814815	0.5
5166	cut	cap	first	R-MAT.500.10.95.gexf	500	4349	2	1	[69, 69, 69, 69]	107	93	93.0	inf	82	0	0	0	0	[107.0, 93.0]	R-MAT	500	10	95	gexf	107	1.1505376344086	0.5
5167	cut	cap	first	R-MAT.500.10.95.gexf	500	4349	3	2	[69, 69, 69, 69]	107	87	87.0	inf	90	0	0	0	0	[107.0, 87.0]	R-MAT	500	10	95	gexf	107	1.22988505747126	0.5
5168	cut	cap	first	R-MAT.500.10.95.gexf	500	4349	5	3	[69, 69, 69, 69]	107	79	79.0	inf	118	0	0	0	0	[107.0, 79.0]	R-MAT	500	10	95	gexf	107	1.35443037974684	0.5
5169	cut	cap	first	R-MAT.500.10.95.gexf	500	4349	10	4	[69, 69, 69, 69]	107	66	66.0	inf	143	0	0	0	0	[107.0, 66.0]	R-MAT	500	10	95	gexf	107	1.62121212121212	0.5
5170	cut	cap	first	R-MAT.500.10.95.gexf	500	4349	50	5	[69, 69, 69, 69]	107	19	19.0	inf	243	0	0	0	0	[107.0, 19.0]	R-MAT	500	10	95	gexf	78	4.10526315789474	0.5
5171	cut	cap	first	R-MAT.500.25.95.gexf	500	9705	2	1	[126, 126, 126, 126]	245	202	202.0	inf	12	0	0	0	0	[245.0, 202.0]	R-MAT	500	25	95	gexf	245	1.21287128712871	0.5
5172	cut	cap	first	R-MAT.500.25.95.gexf	500	9705	3	2	[126, 126, 126, 126]	245	193	193.0	inf	23	0	0	0	0	[245.0, 193.0]	R-MAT	500	25	95	gexf	245	1.26943005181347	0.5
5173	cut	cap	first	R-MAT.500.25.95.gexf	500	9705	5	3	[126, 126, 126, 126]	245	179	179.0	inf	100	0	0	0	0	[245.0, 179.0]	R-MAT	500	25	95	gexf	245	1.36871508379888	0.5
5174	cut	cap	first	R-MAT.500.25.95.gexf	500	9705	10	4	[126, 126, 126, 126]	245	155	155.0	inf	65	0	0	0	0	[245.0, 155.0]	R-MAT	500	25	95	gexf	244.2	1.57548387096774	0.5
5175	cut	cap	first	R-MAT.500.25.95.gexf	500	9705	50	5	[126, 126, 126, 126]	245	76	76.0	inf	110	0	0	0	0	[245.0, 76.0]	R-MAT	500	25	95	gexf	192.80487804878	2.53690629011553	0.5
5176	cut	cap	first	R-MAT.500.5.96.gexf	500	2324	2	1	[35, 35, 35, 35]	45	39	39.0	inf	180	0	0	0	0	[45.0, 39.0]	R-MAT	500	5	96	gexf	45	1.15384615384615	0.5
5177	cut	cap	first	R-MAT.500.5.96.gexf	500	2324	3	2	[35, 35, 35, 35]	45	37	37.0	inf	252	0	0	0	0	[45.0, 37.0]	R-MAT	500	5	96	gexf	45	1.21621621621622	0.5
5178	cut	cap	first	R-MAT.500.5.96.gexf	500	2324	5	3	[35, 35, 35, 35]	45	33	33.0	inf	252	0	0	0	0	[45.0, 33.0]	R-MAT	500	5	96	gexf	45	1.36363636363636	0.5
5179	cut	cap	first	R-MAT.500.5.96.gexf	500	2324	10	4	[35, 35, 35, 35]	45	25	25.0	inf	413	0	0	0	0	[45.0, 25.0]	R-MAT	500	5	96	gexf	45	1.8	0.5
5181	cut	cap	first	R-MAT.500.10.96.gexf	500	4363	2	1	[63, 63, 63, 63]	103	82	82.0	inf	58	0	0	0	0	[103.0, 82.0]	R-MAT	500	10	96	gexf	103	1.25609756097561	0.5
5182	cut	cap	first	R-MAT.500.10.96.gexf	500	4363	3	2	[63, 63, 63, 63]	103	77	77.0	inf	81	0	0	0	0	[103.0, 77.0]	R-MAT	500	10	96	gexf	103	1.33766233766234	0.5
5183	cut	cap	first	R-MAT.500.10.96.gexf	500	4363	5	3	[63, 63, 63, 63]	103	69	69.0	inf	143	0	0	0	0	[103.0, 69.0]	R-MAT	500	10	96	gexf	103	1.49275362318841	0.5
5184	cut	cap	first	R-MAT.500.10.96.gexf	500	4363	10	4	[63, 63, 63, 63]	103	54	54.0	inf	127	0	0	0	0	[103.0, 54.0]	R-MAT	500	10	96	gexf	97.9	1.81296296296296	0.5
5185	cut	cap	first	R-MAT.500.10.96.gexf	500	4363	50	5	[63, 63, 63, 63]	103	13	13.0	inf	244	0	0	0	0	[103.0, 13.0]	R-MAT	500	10	96	gexf	66.3	5.1	0.5
5186	cut	cap	first	R-MAT.500.25.96.gexf	500	9653	2	1	[129, 129, 129, 129]	268	232	232.0	inf	12	0	0	0	0	[268.0, 232.0]	R-MAT	500	25	96	gexf	268	1.1551724137931	0.5
5187	cut	cap	first	R-MAT.500.25.96.gexf	500	9653	3	2	[129, 129, 129, 129]	268	218	218.0	inf	13	0	0	0	0	[268.0, 218.0]	R-MAT	500	25	96	gexf	268	1.22935779816514	0.5
5188	cut	cap	first	R-MAT.500.25.96.gexf	500	9653	5	3	[129, 129, 129, 129]	268	200	200.0	inf	42	0	0	0	0	[268.0, 200.0]	R-MAT	500	25	96	gexf	268	1.34	0.5
5189	cut	cap	first	R-MAT.500.25.96.gexf	500	9653	10	4	[129, 129, 129, 129]	268	172	172.0	inf	106	0	0	0	0	[268.0, 172.0]	R-MAT	500	25	96	gexf	268	1.55813953488372	0.5
5190	cut	cap	first	R-MAT.500.25.96.gexf	500	9653	50	5	[129, 129, 129, 129]	268	79	79.0	inf	114	0	0	0	0	[268.0, 79.0]	R-MAT	500	25	96	gexf	213.488372093023	2.70238445687371	0.5
5191	cut	cap	first	R-MAT.500.5.97.gexf	500	2315	2	1	[30, 30, 30, 30]	40	31	31.0	inf	141	0	0	0	0	[40.0, 31.0]	R-MAT	500	5	97	gexf	40	1.29032258064516	0.5
5192	cut	cap	first	R-MAT.500.5.97.gexf	500	2315	3	2	[30, 30, 30, 30]	40	29	29.0	inf	249	0	0	0	0	[40.0, 29.0]	R-MAT	500	5	97	gexf	40	1.37931034482759	0.5
5193	cut	cap	first	R-MAT.500.5.97.gexf	500	2315	5	3	[30, 30, 30, 30]	40	25	25.0	inf	256	0	0	0	0	[40.0, 25.0]	R-MAT	500	5	97	gexf	40	1.6	0.5
5194	cut	cap	first	R-MAT.500.5.97.gexf	500	2315	10	4	[30, 30, 30, 30]	40	20	20.0	inf	423	0	0	0	0	[40.0, 20.0]	R-MAT	500	5	97	gexf	37.8888888888889	1.89444444444444	0.5
5196	cut	cap	first	R-MAT.500.10.97.gexf	500	4346	2	1	[64, 64, 64, 64]	103	84	84.0	inf	45	0	0	0	0	[103.0, 84.0]	R-MAT	500	10	97	gexf	103	1.22619047619048	0.5
5197	cut	cap	first	R-MAT.500.10.97.gexf	500	4346	3	2	[64, 64, 64, 64]	103	78	78.0	inf	234	0	0	0	0	[103.0, 78.0]	R-MAT	500	10	97	gexf	103	1.32051282051282	0.5
5198	cut	cap	first	R-MAT.500.10.97.gexf	500	4346	5	3	[64, 64, 64, 64]	103	68	68.0	inf	148	0	0	0	0	[103.0, 68.0]	R-MAT	500	10	97	gexf	103	1.51470588235294	0.5
5199	cut	cap	first	R-MAT.500.10.97.gexf	500	4346	10	4	[64, 64, 64, 64]	103	55	55.0	inf	169	0	0	0	0	[103.0, 55.0]	R-MAT	500	10	97	gexf	101.2	1.84	0.5
5200	cut	cap	first	R-MAT.500.10.97.gexf	500	4346	50	5	[64, 64, 64, 64]	103	14	14.0	inf	244	0	0	0	0	[103.0, 14.0]	R-MAT	500	10	97	gexf	67.575	4.82678571428572	0.5
5201	cut	cap	first	R-MAT.500.25.97.gexf	500	9699	2	1	[122, 122, 122, 122]	246	208	208.0	inf	14	0	0	0	0	[246.0, 208.0]	R-MAT	500	25	97	gexf	246	1.18269230769231	0.5
5202	cut	cap	first	R-MAT.500.25.97.gexf	500	9699	3	2	[122, 122, 122, 122]	246	195	195.0	inf	105	0	0	0	0	[246.0, 195.0]	R-MAT	500	25	97	gexf	246	1.26153846153846	0.5
5203	cut	cap	first	R-MAT.500.25.97.gexf	500	9699	5	3	[122, 122, 122, 122]	246	181	181.0	inf	55	0	0	0	0	[246.0, 181.0]	R-MAT	500	25	97	gexf	246	1.35911602209945	0.5
5204	cut	cap	first	R-MAT.500.25.97.gexf	500	9699	10	4	[122, 122, 122, 122]	246	155	155.0	inf	38	0	0	0	0	[246.0, 155.0]	R-MAT	500	25	97	gexf	246	1.58709677419355	0.5
5205	cut	cap	first	R-MAT.500.25.97.gexf	500	9699	50	5	[122, 122, 122, 122]	246	72	72.0	inf	109	0	0	0	0	[246.0, 72.0]	R-MAT	500	25	97	gexf	191.921052631579	2.6655701754386	0.5
5206	cut	cap	first	R-MAT.500.5.98.gexf	500	2301	2	1	[39, 39, 39, 39]	60	48	48.0	inf	115	0	0	0	0	[60.0, 48.0]	R-MAT	500	5	98	gexf	60	1.25	0.5
5207	cut	cap	first	R-MAT.500.5.98.gexf	500	2301	3	2	[39, 39, 39, 39]	60	45	45.0	inf	178	0	0	0	0	[60.0, 45.0]	R-MAT	500	5	98	gexf	60	1.33333333333333	0.5
5208	cut	cap	first	R-MAT.500.5.98.gexf	500	2301	5	3	[39, 39, 39, 39]	60	40	40.0	inf	255	0	0	0	0	[60.0, 40.0]	R-MAT	500	5	98	gexf	60	1.5	0.5
5209	cut	cap	first	R-MAT.500.5.98.gexf	500	2301	10	4	[39, 39, 39, 39]	60	30	30.0	inf	253	0	0	0	0	[60.0, 30.0]	R-MAT	500	5	98	gexf	58.3	1.94333333333333	0.5
5211	cut	cap	first	R-MAT.500.10.98.gexf	500	4395	2	1	[73, 73, 73, 73]	101	87	87.0	inf	230	0	0	0	0	[101.0, 87.0]	R-MAT	500	10	98	gexf	101	1.16091954022989	0.5
5212	cut	cap	first	R-MAT.500.10.98.gexf	500	4395	3	2	[73, 73, 73, 73]	101	83	83.0	inf	103	0	0	0	0	[101.0, 83.0]	R-MAT	500	10	98	gexf	101	1.21686746987952	0.5
5213	cut	cap	first	R-MAT.500.10.98.gexf	500	4395	5	3	[73, 73, 73, 73]	101	77	77.0	inf	142	0	0	0	0	[101.0, 77.0]	R-MAT	500	10	98	gexf	101	1.31168831168831	0.5
5214	cut	cap	first	R-MAT.500.10.98.gexf	500	4395	10	4	[73, 73, 73, 73]	101	66	66.0	inf	146	0	0	0	0	[101.0, 66.0]	R-MAT	500	10	98	gexf	101	1.53030303030303	0.5
5215	cut	cap	first	R-MAT.500.10.98.gexf	500	4395	50	5	[73, 73, 73, 73]	101	23	23.0	inf	239	0	0	0	0	[101.0, 23.0]	R-MAT	500	10	98	gexf	80.5263157894737	3.50114416475973	0.5
5216	cut	cap	first	R-MAT.500.25.98.gexf	500	9616	2	1	[135, 135, 135, 135]	245	218	218.0	inf	19	0	0	0	0	[245.0, 218.0]	R-MAT	500	25	98	gexf	245	1.12385321100917	0.5
5217	cut	cap	first	R-MAT.500.25.98.gexf	500	9616	3	2	[135, 135, 135, 135]	245	209	209.0	inf	103	0	0	0	0	[245.0, 209.0]	R-MAT	500	25	98	gexf	245	1.17224880382775	0.5
5218	cut	cap	first	R-MAT.500.25.98.gexf	500	9616	5	3	[135, 135, 135, 135]	245	196	196.0	inf	109	0	0	0	0	[245.0, 196.0]	R-MAT	500	25	98	gexf	245	1.25	0.5
5219	cut	cap	first	R-MAT.500.25.98.gexf	500	9616	10	4	[135, 135, 135, 135]	245	173	173.0	inf	47	0	0	0	0	[245.0, 173.0]	R-MAT	500	25	98	gexf	245	1.41618497109827	0.5
5220	cut	cap	first	R-MAT.500.25.98.gexf	500	9616	50	5	[135, 135, 135, 135]	245	85	85.0	inf	109	0	0	0	0	[245.0, 85.0]	R-MAT	500	25	98	gexf	214.431818181818	2.52272727272727	0.5
5221	cut	cap	first	R-MAT.500.5.99.gexf	500	2323	2	1	[39, 39, 39, 39]	53	45	45.0	inf	140	0	0	0	0	[53.0, 45.0]	R-MAT	500	5	99	gexf	53	1.17777777777778	0.5
5222	cut	cap	first	R-MAT.500.5.99.gexf	500	2323	3	2	[39, 39, 39, 39]	53	42	42.0	inf	175	0	0	0	0	[53.0, 42.0]	R-MAT	500	5	99	gexf	53	1.26190476190476	0.5
5223	cut	cap	first	R-MAT.500.5.99.gexf	500	2323	5	3	[39, 39, 39, 39]	53	38	38.0	inf	407	0	0	0	0	[53.0, 38.0]	R-MAT	500	5	99	gexf	53	1.39473684210526	0.5
5224	cut	cap	first	R-MAT.500.5.99.gexf	500	2323	10	4	[39, 39, 39, 39]	53	29	29.0	inf	410	0	0	0	0	[53.0, 29.0]	R-MAT	500	5	99	gexf	53	1.82758620689655	0.5
